order_book_id,date,close,volume
000852.XSHG,2014-01-02,4539.5,4688804803.0
000852.XSHG,2014-01-03,4531.747,5429771415.0
000852.XSHG,2014-01-06,4411.27,5557321321.0
000852.XSHG,2014-01-07,4458.557,4458494186.0
000852.XSHG,2014-01-08,4504.673,5313907708.0
000852.XSHG,2014-01-09,4431.8,5362177292.0
000852.XSHG,2014-01-10,4354.844,4621283223.0
000852.XSHG,2014-01-13,4346.713,4021470023.0
000852.XSHG,2014-01-14,4447.699,4516367159.0
000852.XSHG,2014-01-15,4494.095,4817364349.0
000852.XSHG,2014-01-16,4485.269,4898427000.0
000852.XSHG,2014-01-17,4445.2,4282988020.0
000852.XSHG,2014-01-20,4415.096,4239400592.0
000852.XSHG,2014-01-21,4486.869,4613309688.0
000852.XSHG,2014-01-22,4584.079,6221644642.0
000852.XSHG,2014-01-23,4627.341,6060453663.0
000852.XSHG,2014-01-24,4695.287,6632720237.0
000852.XSHG,2014-01-27,4682.053,6059270005.0
000852.XSHG,2014-01-28,4667.734,5026188351.0
000852.XSHG,2014-01-29,4730.86,5028770936.0
000852.XSHG,2014-01-30,4714.679,4358671067.0
000852.XSHG,2014-02-07,4818.246,5219943797.0
000852.XSHG,2014-02-10,4943.378,8306890014.0
000852.XSHG,2014-02-11,4941.808,8503882592.0
000852.XSHG,2014-02-12,5005.026,8254708647.0
000852.XSHG,2014-02-13,4901.679,8871621550.0
000852.XSHG,2014-02-14,5000.59,7350434193.0
000852.XSHG,2014-02-17,5117.394,8964748858.0
000852.XSHG,2014-02-18,5120.243,9130463594.0
000852.XSHG,2014-02-19,5120.136,9064079616.0
000852.XSHG,2014-02-20,5035.168,8574601683.0
000852.XSHG,2014-02-21,5030.78,6826167777.0
000852.XSHG,2014-02-24,5064.488,6989426182.0
000852.XSHG,2014-02-25,4849.372,9382383529.0
000852.XSHG,2014-02-26,4881.727,6879105530.0
000852.XSHG,2014-02-27,4795.551,7755670795.0
000852.XSHG,2014-02-28,4842.524,6441663969.0
000852.XSHG,2014-03-03,4954.174,6990564109.0
000852.XSHG,2014-03-04,4961.944,6836464233.0
000852.XSHG,2014-03-05,4963.662,6519867131.0
000852.XSHG,2014-03-06,4962.395,6469729973.0
000852.XSHG,2014-03-07,4949.835,6388920380.0
000852.XSHG,2014-03-10,4760.672,6624994204.0
000852.XSHG,2014-03-11,4746.733,5430654415.0
000852.XSHG,2014-03-12,4726.863,5358672140.0
000852.XSHG,2014-03-13,4794.004,4801262014.0
